reference,prediction,processing_time
ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,रिन गरंटी को अमिर और बरोसे मंत आजनी हीं दे सकता है,0.14728450775146484
अरबी के पत्तों की पकौड़ी तथा सब्जी बनाई जाती है,अर्भी के पत्तों की पकड़ी तथा सब जी बनाई जाहती है,0.12605786323547363
पिग्गी बैंक को पेन्नी बैंक या मनी बॉक्स के नाम से भी जाना जाता है,पीगी बंको प्याहनी बयहहकियां मनी बोखस के नाम सेभी जाना जाता है,0.14007163047790527
हाइब्रिड के मामलों में कफी मात्रा में ब्याज की वापसी भी की जाती है,हाई बिट के मामलो में काफिमातरा में बियास की भाथ सी भी होकी जाहती है,0.24247431755065918
क्रेप चमेली अपनी खुसबू के लिए प्रसिद्ध है,खराप चमेली अपनी खुशबू के लियए पर सिंद है,0.17322611808776855
एक एकड़ में कितना पोटाश डालना चाहिए ?,एक एकड़ में कितना पोटाश डालनाँ चाही है,0.15002703666687012
जुगाली करने वाले जानवर के आमाशय के कितने भाग होते हैं ?,जू बाली करने भाले जानभर के आमा शे के कितने भाग होते है,0.22026395797729492
सरकारी वित्तीय संस्थाएं क्या हैं ?,शर कारि बिच्ते सुनसथाई क्या है,0.12241172790527344
के.वाई.सी के चार स्तंभ क्या हैं ?,के वाई से के चार सतम्प क्या है,0.1565711498260498
किसानों को वित्तीय सहायता कौन प्रदान करता है ?,किशानो को बिरते साहएता कोन परदान करता है,0.1269838809967041
ए.टी.एम से पैसे कहाँ कहाँ चुकाए जा सकते हैं ?,एटि हम से पहसे कहा कहा छुका एजा सकते है,0.14295482635498047
प्रधानमंत्री फसल बीमा योजना का पैसा कैसे चेक करें ?,परदान मंतरी पशल बिमा योज़ना का पहसा कैँसे चकरे,0.16730904579162598
कर से तकनीकी प्रगति की तेजी हुई है,केकर से तक निकी पड़गती थीथेजी हुई है,0.21275925636291504
कृष्णा वैली गाय महाराष्ट्र में पाई जाती है,क्रसना बहली गाए माराच में पाहई जाहती है,0.1441662311553955
बाजार में चिचिण्डा अब इतनी आसानी से नहीं मिलता,बादार मैं चीछलंडा अब इतनियाँ ँसानी से नहीं मिलता,0.15300488471984863
लेयर मुर्गियां दो या तीन प्रकार की होती है,खीटलेर मुरगया दो या तीन पड़कड़ की होती हैखीट,0.15485191345214844
