reference,prediction,processing_time
ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,0.20273184776306152
अरबी के पत्तों की पकौड़ी तथा सब्जी बनाई जाती है,अरबी के पत्तों की पकौड़ी तथा सब्जी बनाई जाती है,0.11410069465637207
पिग्गी बैंक को पेन्नी बैंक या मनी बॉक्स के नाम से भी जाना जाता है,पिगी बैंक को पैनी बैंक या मनी बॉक्स के नाम से भी जाना जाता है,0.14129352569580078
हाइब्रिड के मामलों में कफी मात्रा में ब्याज की वापसी भी की जाती है,हाइब्रिड के मामलों में काफी मात्रा में ब्याज की वापसी भी की जाती है,0.15297698974609375
क्रेप चमेली अपनी खुसबू के लिए प्रसिद्ध है,क्रैप चमेली अपनी खुशबू के लिए प्रसिद्ध है,0.13279271125793457
एक एकड़ में कितना पोटाश डालना चाहिए ?,एक एक कड़ में कितना पोटाश डालना चाहिए,0.10892081260681152
जुगाली करने वाले जानवर के आमाशय के कितने भाग होते हैं ?,जुगाली करने वाले जानवर के आमाश्य के कितने भाग होते हैं,0.12268495559692383
सरकारी वित्तीय संस्थाएं क्या हैं ?,सरकारी वित्तीय संस्थाएं क्या हैं,0.07026457786560059
के.वाई.सी के चार स्तंभ क्या हैं ?,केवाईसी के चार स्तंभ क्या है,0.06879901885986328
किसानों को वित्तीय सहायता कौन प्रदान करता है ?,किसानों को वित्तीय सहायता कौन प्रदान करता है,0.10291290283203125
ए.टी.एम से पैसे कहाँ कहाँ चुकाए जा सकते हैं ?,एटीएम से पैसे कहां कहां चुकाए जा सकते हैं,0.11828804016113281
प्रधानमंत्री फसल बीमा योजना का पैसा कैसे चेक करें ?,प्रधानमंत्री फसल बीमा योजना का पैसा कैसे चेक करें,0.1126551628112793
कर से तकनीकी प्रगति की तेजी हुई है,करसे तकनीकी प्रगति की तेजी हुई है,0.1201937198638916
कृष्णा वैली गाय महाराष्ट्र में पाई जाती है,कृष्णा वैली गायें महाराष्ट्र में पाई जाती हैं,0.1072535514831543
बाजार में चिचिण्डा अब इतनी आसानी से नहीं मिलता,बाजार में चिचिंडा अब इतनी आसानी से नहीं मिलता,0.18329644203186035
लेयर मुर्गियां दो या तीन प्रकार की होती है,लेर मुर्गियाँ दो या तीन प्रकार की होती है,0.21460437774658203
जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,0.3427739143371582
रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,रोहित ने कहा कि इसे अदालत खाना पसंद नहीं है,0.14168858528137207
पर्सनल लोन के लिए कौन सा बैंक सबसे अच्छा है ?,मर्सनल लोन के लिए कौनसाथ बैंक सबसे अच्छा है,0.14129853248596191
रबी फसल के दो उदाहरण दीजिए ?,रवी फसल के दो उदाहरण भीजिए,0.06236529350280762
फसल काट कर किस जगह बेचनी चाहिये ?,फसल काट कर किस जगह बेचनी चाहिए,0.11300134658813477
एक भैंस पालने में कितना खर्चा आता है ?,एक बैस पालने में कितना खर्चा आता है,0.11322665214538574
आपको अपनी मनचाही व्यक्तिगत ऋण राशि के लिए मिनटों में स्वीकृति मिल सकती है,आपको अपनी मन चाही व्यक्तिगत ऋण राशि के लिए मिंटों में स्वीकृति मिल सकती है,0.15711116790771484
भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,0.15390491485595703
कॉफी बीन्स को उनके प्रसंस्करण के दौरान बड़ी मात्रा में पानी के साथ किण्वित किया जाता है,कॉफीवीनस को उनके प्रसंस्करण के दौरान बड़ी मात्रा में पानी के साथ किणवित किया जाता है,0.16327524185180664
क्रूस्टेसन में केकड़ा लॉबस्टर झींगा मछली आते है,क्रू स्टेशन में कैकड़ा लॉबस्टर झींगा मछली आते हैं,0.1499936580657959
