sample_id,audio_path,reference,reference_normalized,prediction_raw,prediction_normalized,wer_raw,cer_raw,wer_normalized,cer_normalized,processing_time,category
0,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_BANK_400077_40189102.wav,ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,0.0,0.0,0.0,0.0,17.1866641,A_all_zero
16,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40024\IISc_RESPIN_hi_D1_40024_251001_M_AGRI_402684_40056554.wav,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,0.0,0.0,0.0,0.0,0.264255285,A_all_zero
23,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40027\IISc_RESPIN_hi_D1_40027_251001_F_BANK_402786_40206136.wav,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,0.0,0.0,0.0,0.0,0.159240007,A_all_zero
37,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40029\IISc_RESPIN_hi_D1_40029_251001_F_BANK_400385_40108393.wav,मैं कल अपनी पत्नी के साथ एक संयुक्त खाता खुलवाया,मैं कल अपनी पत्नी के साथ एक संयुक्त खाता खुलवाया,मैं कल अपनी पत्नी के साथ एक संयुक्त खाता खुलवाया,मैं कल अपनी पत्नी के साथ एक संयुक्त खाता खुलवाया,0.0,0.0,0.0,0.0,0.116087914,A_all_zero
44,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40042\IISc_RESPIN_hi_D1_40042_251001_F_BANK_400361_40000764.wav,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,0.0,0.0,0.0,0.0,0.174265385,A_all_zero
45,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40042\IISc_RESPIN_hi_D1_40042_251001_F_BANK_401691_40000785.wav,ऑडिटर ने खाता बखूबी मिलाया,ऑडिटर ने खाता बखूबी मिलाया,ऑडिटर ने खाता बखूबी मिलाया,ऑडिटर ने खाता बखूबी मिलाया,0.0,0.0,0.0,0.0,0.097535372,A_all_zero
56,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40048\IISc_RESPIN_hi_D1_40048_247001_M_AGRI_402684_40108800.wav,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,0.0,0.0,0.0,0.0,0.122347832,A_all_zero
100,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40634\IISc_RESPIN_hi_D1_40634_247771_M_BANK_400361_40430779.wav,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,0.0,0.0,0.0,0.0,0.230032444,A_all_zero
110,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40637\IISc_RESPIN_hi_D1_40637_251001_M_BANK_402786_40415571.wav,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,0.0,0.0,0.0,0.0,0.119959116,A_all_zero
111,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40637\IISc_RESPIN_hi_D1_40637_251001_M_AGRI_401185_40415594.wav,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,0.0,0.0,0.0,0.0,0.100253344,A_all_zero
