sample_id,audio_path,reference,reference_normalized,prediction_raw,prediction_normalized,wer_raw,cer_raw,wer_normalized,cer_normalized,processing_time
0,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_BANK_400077_40189102.wav,ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,रिन गरंटी को अमिर और बरोसे मंत आजनी हीं दे सकता है,रिन गरंटी को अमिर और बरोसे मंत आजनी हीं दे सकता है,63.63636364,22.91666667,63.63636364,22.91666667,50.03292227
1,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_AGRI_401381_40199252.wav,अरबी के पत्तों की पकौड़ी तथा सब्जी बनाई जाती है,अरबी के पत्तों की पकौड़ी तथा सब्जी बनाई जाती है,अर्भी के पत्तों की पकड़ी तथा सब जी बनाई जाहती है,अर्भी के पत्तों की पकड़ी तथा सब जी बनाई जाहती है,50,10.86956522,50,10.63829787,0.157578468
2,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_BANK_400096_40199259.wav,पिग्गी बैंक को पेन्नी बैंक या मनी बॉक्स के नाम से भी जाना जाता है,पिग्गी बैंक को पेन्नी बैंक या मनी बॉक्स के नाम से भी जाना जाता है,पीगी बंको प्याहनी बयहहकियां मनी बोखस के नाम सेभी जाना जाता है,पीगी बंको प्याहनी बयहहकियां मनी बोखस के नाम सेभी जाना जाता है,60,29.23076923,60,29.23076923,0.143024921
3,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_BANK_401129_40200343.wav,हाइब्रिड के मामलों में कफी मात्रा में ब्याज की वापसी भी की जाती है,हाइब्रिड के मामलों में कफी मात्रा में ब्याज की वापसी भी की जाती है,हाई बिट के मामलो में काफिमातरा में बियास की भाथ सी भी होकी जाहती है,हाई बिट के मामलो में काफिमातरा में बियास की भाथ सी भी होकी जाहती है,71.42857143,27.27272727,71.42857143,27.27272727,0.144159555
4,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_AGRI_400208_40207448.wav,क्रेप चमेली अपनी खुसबू के लिए प्रसिद्ध है,क्रेप चमेली अपनी खुसबू के लिए प्रसिद्ध है,खराप चमेली अपनी खुशबू के लियए पर सिंद है,खराप चमेली अपनी खुशबू के लियए पर सिंद है,62.5,24.3902439,62.5,24.3902439,0.10983181
5,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_AGRI_403379_40207717.wav,एक एकड़ में कितना पोटाश डालना चाहिए ?,एक एकड़ में कितना पोटाश डालना चाहिए ?,एक एकड़ में कितना पोटाश डालनाँ चाही है,एक एकड़ में कितना पोटाश डालनाँ चाही है,37.5,13.88888889,37.5,13.51351351,0.094911098
6,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_AGRI_403745_40207723.wav,जुगाली करने वाले जानवर के आमाशय के कितने भाग होते हैं ?,जुगाली करने वाले जानवर के आमाशय के कितने भाग होते हैं ?,जू बाली करने भाले जानभर के आमा शे के कितने भाग होते है,जू बाली करने भाले जानभर के आमा शे के कितने भाग होते है,66.66666667,18.18181818,66.66666667,18.18181818,0.115224361
7,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_BANK_403817_40210650.wav,सरकारी वित्तीय संस्थाएं क्या हैं ?,सरकारी वित्तीय संस्थाएं क्या हैं ?,शर कारि बिच्ते सुनसथाई क्या है,शर कारि बिच्ते सुनसथाई क्या है,100,44.11764706,100,44.11764706,0.059426546
8,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_BANK_404297_40210656.wav,के.वाई.सी के चार स्तंभ क्या हैं ?,के.वाई.सी के चार स्तंभ क्या हैं ?,के वाई से के चार सतम्प क्या है,के वाई से के चार सतम्प क्या है,85.71428571,30.3030303,85.71428571,30.3030303,0.052993059
9,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_AGRI_403372_40210773.wav,किसानों को वित्तीय सहायता कौन प्रदान करता है ?,किसानों को वित्तीय सहायता कौन प्रदान करता है ?,किशानो को बिरते साहएता कोन परदान करता है,किशानो को बिरते साहएता कोन परदान करता है,66.66666667,30.43478261,66.66666667,30.43478261,0.094877481
