sample_id,audio_path,reference,reference_normalized,prediction_raw,prediction_normalized,wer_raw,cer_raw,wer_normalized,cer_normalized,processing_time,category
0,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40020\IISc_RESPIN_hi_D1_40020_251001_F_BANK_400077_40189102.wav,ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,ऋण ग र ट क अम र और भर स म द आदम ह द सकत ह,ऋण गारंटी को अमीर और भरोसेमंद आदमी ही दे सकता है,ऋण ग र ट क अम र और भर स म द आदम ह द सकत ह,0.0,0.0,0.0,0.0,24.02138662338257,A_all_zero
16,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40024\IISc_RESPIN_hi_D1_40024_251001_M_AGRI_402684_40056554.wav,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,ज रश तल ब ह र क म थ ल एव न प ल क फसल उत सव ह,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,ज रश तल ब ह र क म थ ल एव न प ल क फसल उत सव ह,0.0,0.0,0.0,0.0,0.1900875568389892,A_all_zero
23,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40027\IISc_RESPIN_hi_D1_40027_251001_F_BANK_402786_40206136.wav,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भ गलप र म त न स ल म कई नए क र ड ट य न यन ख ल गए ह,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भ गलप र म त न स ल म कई नए क र ड ट य न यन ख ल गए ह,0.0,0.0,0.0,0.0,0.1552751064300537,A_all_zero
37,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40029\IISc_RESPIN_hi_D1_40029_251001_F_BANK_400385_40108393.wav,मैं कल अपनी पत्नी के साथ एक संयुक्त खाता खुलवाया,म कल अपन पत न क स थ एक स य क त ख त ख लव य,मैं कल अपनी पत्नी के साथ एक संयुक्त खाता खुलवाया,म कल अपन पत न क स थ एक स य क त ख त ख लव य,0.0,0.0,0.0,0.0,0.1231427192687988,A_all_zero
44,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40042\IISc_RESPIN_hi_D1_40042_251001_F_BANK_400361_40000764.wav,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर म फ उन ल ग क ल ए ह ज स ल स अपन स पत त क छ प त ह,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर म फ उन ल ग क ल ए ह ज स ल स अपन स पत त क छ प त ह,0.0,0.0,0.0,0.0,0.1740882396697998,A_all_zero
45,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40042\IISc_RESPIN_hi_D1_40042_251001_F_BANK_401691_40000785.wav,ऑडिटर ने खाता बखूबी मिलाया,ऑड टर न ख त बख ब म ल य,ऑडिटर ने खाता बखूबी मिलाया,ऑड टर न ख त बख ब म ल य,0.0,0.0,0.0,0.0,0.0942664146423339,A_all_zero
56,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40048\IISc_RESPIN_hi_D1_40048_247001_M_AGRI_402684_40108800.wav,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,ज रश तल ब ह र क म थ ल एव न प ल क फसल उत सव ह,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,ज रश तल ब ह र क म थ ल एव न प ल क फसल उत सव ह,0.0,0.0,0.0,0.0,0.1200170516967773,A_all_zero
100,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40634\IISc_RESPIN_hi_D1_40634_247771_M_BANK_400361_40430779.wav,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर म फ उन ल ग क ल ए ह ज स ल स अपन स पत त क छ प त ह,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर म फ उन ल ग क ल ए ह ज स ल स अपन स पत त क छ प त ह,0.0,0.0,0.0,0.0,0.2280387878417968,A_all_zero
110,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40637\IISc_RESPIN_hi_D1_40637_251001_M_BANK_402786_40415571.wav,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भ गलप र म त न स ल म कई नए क र ड ट य न यन ख ल गए ह,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भ गलप र म त न स ल म कई नए क र ड ट य न यन ख ल गए ह,0.0,0.0,0.0,0.0,0.1184797286987304,A_all_zero
111,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40637\IISc_RESPIN_hi_D1_40637_251001_M_AGRI_401185_40415594.wav,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,र ह त न कह क उस अदरक ख न पस द नह ह,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,र ह त न कह क उस अदरक ख न पस द नह ह,0.0,0.0,0.0,0.0,0.0945000648498535,A_all_zero
120,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40664\IISc_RESPIN_hi_D1_40664_251001_F_BANK_402852_40558045.wav,कुशल अपना नया व्यापार शुरू करने के लिए पूंजी बाजार से मशीनरी खरीदी,क शल अपन नय व य प र श र करन क ल ए प ज ब ज र स मश नर खर द,कुशल अपना नया व्यापार शुरू करने के लिए पूंजी बाजार से मशीनरी खरीदी,क शल अपन नय व य प र श र करन क ल ए प ज ब ज र स मश नर खर द,0.0,0.0,0.0,0.0,0.150099515914917,A_all_zero
130,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40670\IISc_RESPIN_hi_D1_40670_251001_F_AGRI_402684_40455426.wav,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,ज रश तल ब ह र क म थ ल एव न प ल क फसल उत सव ह,जुरशीतल बिहार के मिथिला एवं नेपाल का फसल उत्सव है,ज रश तल ब ह र क म थ ल एव न प ल क फसल उत सव ह,0.0,0.0,0.0,0.0,0.1401667594909668,A_all_zero
145,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40702\IISc_RESPIN_hi_D1_40702_251001_F_AGRI_400070_40350317.wav,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मव श य क पर व श उनक ल ए आर मद यक ह न च ह ए,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मव श य क पर व श उनक ल ए आर मद यक ह न च ह ए,0.0,0.0,0.0,0.0,0.1210572719573974,A_all_zero
