sample_id,audio_path,reference,reference_normalized,prediction_raw,prediction_normalized,wer_raw,cer_raw,wer_normalized,cer_normalized,processing_time,category
23,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40027\IISc_RESPIN_hi_D1_40027_251001_F_BANK_402786_40206136.wav,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भ गलप र म त न स ल म कई नए क र ड ट य न यन ख ल गए ह,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भ गलप र म त न स ल म कई नए क र ड ट य न यन ख ल गए ह,0.0,0.0,0.0,0.0,0.0588366985321044,A_all_zero
37,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40029\IISc_RESPIN_hi_D1_40029_251001_F_BANK_400385_40108393.wav,मैं कल अपनी पत्नी के साथ एक संयुक्त खाता खुलवाया,म कल अपन पत न क स थ एक स य क त ख त ख लव य,मैं कल अपनी पत्नी के साथ एक संयुक्त खाता खुलवाया,म कल अपन पत न क स थ एक स य क त ख त ख लव य,0.0,0.0,0.0,0.0,0.0461804866790771,A_all_zero
44,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40042\IISc_RESPIN_hi_D1_40042_251001_F_BANK_400361_40000764.wav,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर म फ उन ल ग क ल ए ह ज स ल स अपन स पत त क छ प त ह,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर म फ उन ल ग क ल ए ह ज स ल स अपन स पत त क छ प त ह,0.0,0.0,0.0,0.0,0.0717983245849609,A_all_zero
45,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40042\IISc_RESPIN_hi_D1_40042_251001_F_BANK_401691_40000785.wav,ऑडिटर ने खाता बखूबी मिलाया,ऑड टर न ख त बख ब म ल य,ऑडिटर ने खाता बखूबी मिलाया,ऑड टर न ख त बख ब म ल य,0.0,0.0,0.0,0.0,0.035902976989746,A_all_zero
47,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40042\IISc_RESPIN_hi_D1_40042_251001_F_BANK_401332_40006407.wav,इंदिरा आवास योजना का नाम बदलकर प्रधानमंत्री आवास योजना मार्च दो हजार सोलह को रखा गया,इ द र आव स य जन क न म बदलकर प रध नम त र आव स य जन म र च द हज र स लह क रख गय,इंदिरा आवास योजना का नाम बदलकर प्रधानमंत्री आवास योजना मार्च दो हजार सोलह को रखा गया,इ द र आव स य जन क न म बदलकर प रध नम त र आव स य जन म र च द हज र स लह क रख गय,0.0,0.0,0.0,0.0,0.0837519168853759,A_all_zero
77,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40077\IISc_RESPIN_hi_D1_40077_247121_F_AGRI_402067_40059234.wav,लेयर मुर्गियां दो या तीन प्रकार की होती है,ल यर म र ग य द य त न प रक र क ह त ह,लेयर मुर्गियां दो या तीन प्रकार की होती है,ल यर म र ग य द य त न प रक र क ह त ह,0.0,0.0,0.0,0.0,0.0438544750213623,A_all_zero
100,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40634\IISc_RESPIN_hi_D1_40634_247771_M_BANK_400361_40430779.wav,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर म फ उन ल ग क ल ए ह ज स ल स अपन स पत त क छ प त ह,कर माफी उन लोगों के लिए है जो सालों से अपनी संपत्ति को छिपाते हैं,कर म फ उन ल ग क ल ए ह ज स ल स अपन स पत त क छ प त ह,0.0,0.0,0.0,0.0,0.0862464904785156,A_all_zero
110,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40637\IISc_RESPIN_hi_D1_40637_251001_M_BANK_402786_40415571.wav,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भ गलप र म त न स ल म कई नए क र ड ट य न यन ख ल गए ह,भागलपुर में तीन साल में कई नए क्रेडिट यूनियन खुल गए हैं,भ गलप र म त न स ल म कई नए क र ड ट य न यन ख ल गए ह,0.0,0.0,0.0,0.0,0.0451645851135253,A_all_zero
111,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40637\IISc_RESPIN_hi_D1_40637_251001_M_AGRI_401185_40415594.wav,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,र ह त न कह क उस अदरक ख न पस द नह ह,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,र ह त न कह क उस अदरक ख न पस द नह ह,0.0,0.0,0.0,0.0,0.0419683456420898,A_all_zero
120,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40664\IISc_RESPIN_hi_D1_40664_251001_F_BANK_402852_40558045.wav,कुशल अपना नया व्यापार शुरू करने के लिए पूंजी बाजार से मशीनरी खरीदी,क शल अपन नय व य प र श र करन क ल ए प ज ब ज र स मश नर खर द,कुशल अपना नया व्यापार शुरू करने के लिए पूंजी बाजार से मशीनरी खरीदी,क शल अपन नय व य प र श र करन क ल ए प ज ब ज र स मश नर खर द,0.0,0.0,0.0,0.0,0.0595579147338867,A_all_zero
145,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40702\IISc_RESPIN_hi_D1_40702_251001_F_AGRI_400070_40350317.wav,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मव श य क पर व श उनक ल ए आर मद यक ह न च ह ए,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मव श य क पर व श उनक ल ए आर मद यक ह न च ह ए,0.0,0.0,0.0,0.0,0.0446789264678955,A_all_zero
146,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40702\IISc_RESPIN_hi_D1_40702_251001_F_BANK_401691_40354835.wav,ऑडिटर ने खाता बखूबी मिलाया,ऑड टर न ख त बख ब म ल य,ऑडिटर ने खाता बखूबी मिलाया,ऑड टर न ख त बख ब म ल य,0.0,0.0,0.0,0.0,0.0300135612487792,A_all_zero
148,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40702\IISc_RESPIN_hi_D1_40702_251001_F_AGRI_401434_40354988.wav,खरपतवार अक्सर जमीन की जुताई करते समय इधर उधर हो जाते हैं,खरपतव र अक सर जम न क ज त ई करत समय इधर उधर ह ज त ह,खरपतवार अक्सर जमीन की जुताई करते समय इधर उधर हो जाते हैं,खरपतव र अक सर जम न क ज त ई करत समय इधर उधर ह ज त ह,0.0,0.0,0.0,0.0,0.063685655593872,A_all_zero
158,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40715\IISc_RESPIN_hi_D1_40715_251001_F_AGRI_400853_40378431.wav,मुझे पुदीने की चटनी पसंद है,म झ प द न क चटन पस द ह,मुझे पुदीने की चटनी पसंद है,म झ प द न क चटन पस द ह,0.0,0.0,0.0,0.0,0.0449044704437255,A_all_zero
172,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40725\IISc_RESPIN_hi_D1_40725_251001_F_BANK_402852_40395131.wav,कुशल अपना नया व्यापार शुरू करने के लिए पूंजी बाजार से मशीनरी खरीदी,क शल अपन नय व य प र श र करन क ल ए प ज ब ज र स मश नर खर द,कुशल अपना नया व्यापार शुरू करने के लिए पूंजी बाजार से मशीनरी खरीदी,क शल अपन नय व य प र श र करन क ल ए प ज ब ज र स मश नर खर द,0.0,0.0,0.0,0.0,0.0746974945068359,A_all_zero
174,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40725\IISc_RESPIN_hi_D1_40725_251001_F_AGRI_402305_40396291.wav,परवल की मिठाई भी बनाई जाती है,परवल क म ठ ई भ बन ई ज त ह,परवल की मिठाई भी बनाई जाती है,परवल क म ठ ई भ बन ई ज त ह,0.0,0.0,0.0,0.0,0.033797264099121,A_all_zero
202,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40766\IISc_RESPIN_hi_D1_40766_700046_F_AGRI_400788_40329092.wav,मेरे दोस्त के पिता टेरेस खेती करते हैं,म र द स त क प त ट र स ख त करत ह,मेरे दोस्त के पिता टेरेस खेती करते हैं,म र द स त क प त ट र स ख त करत ह,0.0,0.0,0.0,0.0,0.0443856716156005,A_all_zero
206,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40766\IISc_RESPIN_hi_D1_40766_700046_F_AGRI_400821_40459559.wav,कृष्णा वैली गाय महाराष्ट्र में पाई जाती है,क ष ण व ल ग य मह र ष ट र म प ई ज त ह,कृष्णा वैली गाय महाराष्ट्र में पाई जाती है,क ष ण व ल ग य मह र ष ट र म प ई ज त ह,0.0,0.0,0.0,0.0,0.0480172634124755,A_all_zero
219,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41209\IISc_RESPIN_hi_D1_41209_251001_M_AGRI_421558_40728127.wav,सहकारी समितियों और किसान स्वामित्व वाली दूध उत्पादक कंपनियों की कार्यशील पूंजी की जरूरतों को पूरा करता है,सहक र सम त य और क स न स व म त व व ल द ध उत प दक क पन य क क र यश ल प ज क जर रत क प र करत ह,सहकारी समितियों और किसान स्वामित्व वाली दूध उत्पादक कंपनियों की कार्यशील पूंजी की जरूरतों को पूरा करता है,सहक र सम त य और क स न स व म त व व ल द ध उत प दक क पन य क क र यश ल प ज क जर रत क प र करत ह,0.0,0.0,0.0,0.0,0.0729341506958007,A_all_zero
240,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41631\IISc_RESPIN_hi_D1_41631_251001_M_AGRI_400768_40959905.wav,जवारे बहुत ही अच्छा ग्लूटेन फ्री आटा होता है,जव र बह त ह अच छ ग ल ट न फ र आट ह त ह,जवारे बहुत ही अच्छा ग्लूटेन फ्री आटा होता है,जव र बह त ह अच छ ग ल ट न फ र आट ह त ह,0.0,0.0,0.0,0.0,0.0455625057220459,A_all_zero
260,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41638\IISc_RESPIN_hi_D1_41638_249001_M_BANK_402310_40912468.wav,ब्लैंक चेक का प्रयोग व्यापार जगत में किसी सौदेबाजी में होती है,ब ल क च क क प रय ग व य प र जगत म क स स द ब ज म ह त ह,ब्लैंक चेक का प्रयोग व्यापार जगत में किसी सौदेबाजी में होती है,ब ल क च क क प रय ग व य प र जगत म क स स द ब ज म ह त ह,0.0,0.0,0.0,0.0,0.0723879337310791,A_all_zero
292,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41640\IISc_RESPIN_hi_D1_41640_251001_F_AGRI_401185_40878064.wav,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,र ह त न कह क उस अदरक ख न पस द नह ह,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,र ह त न कह क उस अदरक ख न पस द नह ह,0.0,0.0,0.0,0.0,0.0437781810760498,A_all_zero
301,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41648\IISc_RESPIN_hi_D1_41648_NA_F_BANK_402310_40933309.wav,ब्लैंक चेक का प्रयोग व्यापार जगत में किसी सौदेबाजी में होती है,ब ल क च क क प रय ग व य प र जगत म क स स द ब ज म ह त ह,ब्लैंक चेक का प्रयोग व्यापार जगत में किसी सौदेबाजी में होती है,ब ल क च क क प रय ग व य प र जगत म क स स द ब ज म ह त ह,0.0,0.0,0.0,0.0,0.0753660202026367,A_all_zero
309,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41648\IISc_RESPIN_hi_D1_41648_NA_F_AGRI_400070_40959979.wav,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मव श य क पर व श उनक ल ए आर मद यक ह न च ह ए,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मव श य क पर व श उनक ल ए आर मद यक ह न च ह ए,0.0,0.0,0.0,0.0,0.0508935451507568,A_all_zero
322,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41672\IISc_RESPIN_hi_D1_41672_249145_F_BANK_402381_40951054.wav,कर से तकनीकी प्रगति की तेजी हुई है,कर स तकन क प रगत क त ज ह ई ह,कर से तकनीकी प्रगति की तेजी हुई है,कर स तकन क प रगत क त ज ह ई ह,0.0,0.0,0.0,0.0,0.0415718555450439,A_all_zero
338,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41918\IISc_RESPIN_hi_D1_41918_251001_F_BANK_401691_40843139.wav,ऑडिटर ने खाता बखूबी मिलाया,ऑड टर न ख त बख ब म ल य,ऑडिटर ने खाता बखूबी मिलाया,ऑड टर न ख त बख ब म ल य,0.0,0.0,0.0,0.0,0.0281505584716796,A_all_zero
359,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\42045\IISc_RESPIN_hi_D1_42045_251001_F_BANK_400186_40958445.wav,हमारे गोदाम में खाने की बहुत सी वस्तुएं रखी हैं,हम र ग द म म ख न क बह त स वस त ए रख ह,हमारे गोदाम में खाने की बहुत सी वस्तुएं रखी हैं,हम र ग द म म ख न क बह त स वस त ए रख ह,0.0,0.0,0.0,0.0,0.0252003669738769,A_all_zero
360,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\42045\IISc_RESPIN_hi_D1_42045_251001_F_BANK_401357_40958459.wav,सोहेल अपनी बेटी को वित्त विश्लेषक बनाना चाहता है,स ह ल अपन ब ट क व त त व श ल षक बन न च हत ह,सोहेल अपनी बेटी को वित्त विश्लेषक बनाना चाहता है,स ह ल अपन ब ट क व त त व श ल षक बन न च हत ह,0.0,0.0,0.0,0.0,0.0441515445709228,A_all_zero
383,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\42466\IISc_RESPIN_hi_D1_42466_251001_M_AGRI_400070_41149276.wav,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मव श य क पर व श उनक ल ए आर मद यक ह न च ह ए,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मव श य क पर व श उनक ल ए आर मद यक ह न च ह ए,0.0,0.0,0.0,0.0,0.0457332134246826,A_all_zero
420,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\40357\IISc_RESPIN_hi_D2_40357_207241_F_BANK_406733_40104903.wav,सरकारी कर्मचारी पेंशन निधि में निवेश कर अपना भविष्य सुरक्षित रखने की कोशिश करते हैं,सरक र कर मच र प शन न ध म न व श कर अपन भव ष य स रक ष त रखन क क श श करत ह,सरकारी कर्मचारी पेंशन निधि में निवेश कर अपना भविष्य सुरक्षित रखने की कोशिश करते हैं,सरक र कर मच र प शन न ध म न व श कर अपन भव ष य स रक ष त रखन क क श श करत ह,0.0,0.0,0.0,0.0,0.0706896781921386,A_all_zero
466,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\40435\IISc_RESPIN_hi_D2_40435_207125_M_AGRI_404455_40135055.wav,रोहण ने बताया कि वह प्रकृति में जल वितरण के बारे में एक आलेख लिख रहा है,र हण न बत य क वह प रक त म जल व तरण क ब र म एक आल ख ल ख रह ह,रोहण ने बताया कि वह प्रकृति में जल वितरण के बारे में एक आलेख लिख रहा है,र हण न बत य क वह प रक त म जल व तरण क ब र म एक आल ख ल ख रह ह,0.0,0.0,0.0,0.0,0.0742800235748291,A_all_zero
475,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\40443\IISc_RESPIN_hi_D2_40443_207241_F_BANK_406738_40088576.wav,भारत में मनरेगा एक जॉब गारंटी योजना है,भ रत म मनर ग एक ज ब ग र ट य जन ह,भारत में मनरेगा एक जॉब गारंटी योजना है,भ रत म मनर ग एक ज ब ग र ट य जन ह,0.0,0.0,0.0,0.0,0.0393378734588623,A_all_zero
651,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\40818\IISc_RESPIN_hi_D2_40818_207001_F_AGRI_406448_40261388.wav,फॉरेस्ट गार्डनिंग में जमीन उपजाऊ बना रहता है,फ र स ट ग र डन ग म जम न उपज ऊ बन रहत ह,फॉरेस्ट गार्डनिंग में जमीन उपजाऊ बना रहता है,फ र स ट ग र डन ग म जम न उपज ऊ बन रहत ह,0.0,0.0,0.0,0.0,0.0427803993225097,A_all_zero
664,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\40827\IISc_RESPIN_hi_D2_40827_207001_M_BANK_404807_40301675.wav,मुझे खुशी है कि भारत में अब एक महिला वित्त मंत्री है,म झ ख श ह क भ रत म अब एक मह ल व त त म त र ह,मुझे खुशी है कि भारत में अब एक महिला वित्त मंत्री है,म झ ख श ह क भ रत म अब एक मह ल व त त म त र ह,0.0,0.0,0.0,0.0,0.0449838638305664,A_all_zero
666,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\40827\IISc_RESPIN_hi_D2_40827_207001_M_BANK_406319_40301698.wav,शहर की गलियों में रास्ते यूनिवर्सल बैंक के द्वारा दिए हुए पैसों से बनी है,शहर क गल य म र स त य न वर सल ब क क द व र द ए ह ए प स स बन ह,शहर की गलियों में रास्ते यूनिवर्सल बैंक के द्वारा दिए हुए पैसों से बनी है,शहर क गल य म र स त य न वर सल ब क क द व र द ए ह ए प स स बन ह,0.0,0.0,0.0,0.0,0.104823350906372,A_all_zero
734,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\40863\IISc_RESPIN_hi_D2_40863_207247_F_AGRI_407018_40370388.wav,कोलेजन ऊतकों को संरचनात्मक सहायता प्रदान करता है और आवश्यक कार्यों में भी शामिल है,क ल जन ऊतक क स रचन त मक सह यत प रद न करत ह और आवश यक क र य म भ श म ल ह,कोलेजन ऊतकों को संरचनात्मक सहायता प्रदान करता है और आवश्यक कार्यों में भी शामिल है,क ल जन ऊतक क स रचन त मक सह यत प रद न करत ह और आवश यक क र य म भ श म ल ह,0.0,0.0,0.0,0.0,0.0849165916442871,A_all_zero
845,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\41701\IISc_RESPIN_hi_D2_41701_207241_M_AGRI_406374_40873026.wav,फसल विविधता हमारे आसपास के पर्यावरण के पनपने में मददगार है,फसल व व धत हम र आसप स क पर य वरण क पनपन म मददग र ह,फसल विविधता हमारे आसपास के पर्यावरण के पनपने में मददगार है,फसल व व धत हम र आसप स क पर य वरण क पनपन म मददग र ह,0.0,0.0,0.0,0.0,0.0702111721038818,A_all_zero
875,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\41720\IISc_RESPIN_hi_D2_41720_207125_M_AGRI_407112_40810429.wav,चाय की पैकेजिंग ग्राहकों की जरूरतों के अनुसार किया जाता है,च य क प क ज ग ग र हक क जर रत क अन स र क य ज त ह,चाय की पैकेजिंग ग्राहकों की जरूरतों के अनुसार किया जाता है,च य क प क ज ग ग र हक क जर रत क अन स र क य ज त ह,0.0,0.0,0.0,0.0,0.051356554031372,A_all_zero
881,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\42007\IISc_RESPIN_hi_D2_42007_207241_F_AGRI_404547_40928137.wav,फसल बीमा का लाभ आय में स्थिरता है अर्थात यह किसानों को फसल खराब होने से होने वाले नुकसान से बचाता है,फसल ब म क ल भ आय म स थ रत ह अर थ त यह क स न क फसल खर ब ह न स ह न व ल न कस न स बच त ह,फसल बीमा का लाभ आय में स्थिरता है अर्थात यह किसानों को फसल खराब होने से होने वाले नुकसान से बचाता है,फसल ब म क ल भ आय म स थ रत ह अर थ त यह क स न क फसल खर ब ह न स ह न व ल न कस न स बच त ह,0.0,0.0,0.0,0.0,0.1030700206756591,A_all_zero
911,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\42514\IISc_RESPIN_hi_D2_42514_207241_F_AGRI_406288_41200858.wav,प्रीतम तुम सचेत रहना अप्रैल से अक्टूबर के बीच चावल में घुन लग सकता है,प र तम त म सच त रहन अप र ल स अक ट बर क ब च च वल म घ न लग सकत ह,प्रीतम तुम सचेत रहना अप्रैल से अक्टूबर के बीच चावल में घुन लग सकता है,प र तम त म सच त रहन अप र ल स अक ट बर क ब च च वल म घ न लग सकत ह,0.0,0.0,0.0,0.0,0.0995903015136718,A_all_zero
915,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\42518\IISc_RESPIN_hi_D2_42518_207241_F_AGRI_404455_41220135.wav,रोहण ने बताया कि वह प्रकृति में जल वितरण के बारे में एक आलेख लिख रहा है,र हण न बत य क वह प रक त म जल व तरण क ब र म एक आल ख ल ख रह ह,रोहण ने बताया कि वह प्रकृति में जल वितरण के बारे में एक आलेख लिख रहा है,र हण न बत य क वह प रक त म जल व तरण क ब र म एक आल ख ल ख रह ह,0.0,0.0,0.0,0.0,0.0792911052703857,A_all_zero
